"","ietd","gi","volume","org_volume","volume_perc","q10","q90"
"1","2",2,190977.062661266,213934.912188477,10.7312309582202,9.79582057174463,12.1816353679366
"2","2",2.1,189901.477280522,213934.912188477,11.2339938638818,10.2572887594096,12.7243373804549
"3","2",2.2,188829.352883729,213934.912188477,11.73513899528,10.7349241351075,13.3020923867776
"4","2",2.3,187750.478666228,213934.912188477,12.2394392081177,11.2025910911078,13.8665394362231
"5","2",2.4,186687.96712416,213934.912188477,12.7360909846789,11.6642445869672,14.4201525585593
"6","2",2.5,185624.265288964,213934.912188477,13.2332991422038,12.1377629921695,14.9788178129707
"7","2",2.6,184575.283871965,213934.912188477,13.7236265068538,12.5884507453318,15.5165252262465
"8","2",2.7,183529.235134842,213934.912188477,14.2125830434106,13.0298881656558,16.0838953629976
"9","2",2.8,182478.63680985,213934.912188477,14.7036662024168,13.4870813272057,16.647852558997
"10","2",2.9,181448.497533577,213934.912188477,15.1851861496452,13.9297478659382,17.1833917230996
"11","2",3,180411.325558061,213934.912188477,15.669993404761,14.3725504985204,17.7437909223856
"12","2",3.1,179407.526467278,213934.912188477,16.1392011093451,14.8217406326198,18.2601120019942
"13","2",3.2,178388.214016273,213934.912188477,16.6156602531927,15.2572526307518,18.8144181199981
"14","2",3.3,177364.032369644,213934.912188477,17.0943954143463,15.7136265597026,19.331493849074
"15","2",3.4,176362.824923056,213934.912188477,17.5623917017901,16.1489859949054,19.8530298191645
"16","2",3.5,175371.264148307,213934.912188477,18.0258788271989,16.5810020019643,20.3531548453542
"17","2",3.6,174386.090486,213934.912188477,18.4863804125783,17.0220588004377,20.8499000188936
"18","2",3.7,173412.311196789,213934.912188477,18.9415559046236,17.4651161496496,21.3652916871202
"19","2",3.8,172427.985847276,213934.912188477,19.4016609615515,17.8960117434492,21.8702445653878
"20","2",3.9,171467.507384609,213934.912188477,19.8506192231279,18.3065946007783,22.3781758524422
"21","2",4,170489.722245417,213934.912188477,20.3076671771946,18.7388180822817,22.8538426666796
"22","2",4.1,169529.146558545,213934.912188477,20.756670884465,19.1407242878004,23.351224366146
"23","2",4.2,168565.969427583,213934.912188477,21.2068905896592,19.5422902496772,23.8579340484917
"24","2",4.3,167600.296619363,213934.912188477,21.6582768539869,19.9402846546269,24.347408526078
"25","2",4.4,166653.479550753,213934.912188477,22.1008493443411,20.3729828552335,24.8330404757638
"26","2",4.5,165708.736526035,213934.912188477,22.5424523604422,20.7722239848701,25.2998209454145
"27","2",4.6,164778.642156687,213934.912188477,22.9772081279018,21.1819418414968,25.7964769764263
"28","2",4.7,163843.191753703,213934.912188477,23.4144674762776,21.5991281875841,26.2565189080342
"29","2",4.8,162900.67428728,213934.912188477,23.8550301954621,21.9915116626902,26.7188281228644
"30","2",4.9,161989.840963412,213934.912188477,24.2807827360599,22.3987666801326,27.2048863642972
"31","2",5,161085.639538693,213934.912188477,24.7034353155146,22.7898589475124,27.6898640635549
"32","2",5.1,160177.789994157,213934.912188477,25.1277931425046,23.1750249260474,28.15828949854
"33","2",5.2,159265.508715349,213934.912188477,25.5542225034146,23.5909869524209,28.6306975770209
